================================================================================
DANH SÁCH TẤT CẢ CÁC LOẠI ĐỊA ĐIỂM
Tổng số: 528 loại địa điểm - 2942 địa điểm
Sắp xếp: Từ nhiều đến ít
================================================================================

  1. Coffee shop                                        :  158 địa điểm
  2. Bar                                                :  140 địa điểm
  3. Restaurant                                         :  122 địa điểm
  4. Cafe                                               :  119 địa điểm
  5. Tourist attraction                                 :  106 địa điểm
  6. Cocktail bar                                       :   91 địa điểm
  7. Hotel                                              :   64 địa điểm
  8. Supermarket                                        :   61 địa điểm
  9. Bakery                                             :   57 địa điểm
 10. Historical landmark                                :   49 địa điểm
 11. Market                                             :   45 địa điểm
 12. Ice cream shop                                     :   41 địa điểm
 13. Catholic church                                    :   37 địa điểm
 14. Espresso bar                                       :   37 địa điểm
 15. Pub                                                :   36 địa điểm
 16. Museum                                             :   36 địa điểm
 17. Park                                               :   34 địa điểm
 18. Shopping mall                                      :   34 địa điểm
 19. ,                                                  :   33 địa điểm
 20. Mediterranean restaurant                           :   32 địa điểm
 21. Monastery                                          :   30 địa điểm
 22. Night club                                         :   27 địa điểm
 23. Cultural center                                    :   25 địa điểm
 24. Spanish restaurant                                 :   24 địa điểm
 25. Hiking area                                        :   24 địa điểm
 26. Bar & grill                                        :   21 địa điểm
 27. Event venue                                        :   21 địa điểm
 28. Bubble tea store                                   :   20 địa điểm
 29. Beer garden                                        :   19 địa điểm
 30. Brunch restaurant                                  :   19 địa điểm
 31. Breakfast restaurant                               :   18 địa điểm
 32. Disco club                                         :   17 địa điểm
 33. Karaoke bar                                        :   17 địa điểm
 34. Art center                                         :   17 địa điểm
 35. Church                                             :   17 địa điểm
 36. Brewpub                                            :   16 địa điểm
 37. Wine bar                                           :   15 địa điểm
 38. Tea house                                          :   14 địa điểm
 39. Sports bar                                         :   14 địa điểm
 40. Concert hall                                       :   14 địa điểm
 41. Playground                                         :   14 địa điểm
 42. Lounge                                             :   13 địa điểm
 43. Beach                                              :   13 địa điểm
 44. Tapas bar                                          :   13 địa điểm
 45. Flea market                                        :   12 địa điểm
 46. Athletic club                                      :   12 địa điểm
 47. Coffee store                                       :   11 địa điểm
 48. Outdoor sports store                               :   11 địa điểm
 49. Art gallery                                        :   10 địa điểm
 50. Fine dining restaurant                             :   10 địa điểm
 51. Fusion restaurant                                  :   10 địa điểm
 52. Tapas restaurant                                   :   10 địa điểm
 53. Running store                                      :   10 địa điểm
 54. Badminton club                                     :   10 địa điểm
 55. Bistro                                             :    9 địa điểm
 56. Beach clothing store                               :    9 địa điểm
 57. Seafood restaurant                                 :    9 địa điểm
 58. Art museum                                         :    9 địa điểm
 59. Sportswear store                                   :    9 địa điểm
 60. Airport                                            :    9 địa điểm
 61. Andalusian restaurant                              :    8 địa điểm
 62. Adventure sports center                            :    8 địa điểm
 63. Store                                              :    8 địa điểm
 64. Health food restaurant                             :    8 địa điểm
 65. Aquarium shop                                      :    8 địa điểm
 66. Pet store                                          :    8 địa điểm
 67. Cultural landmark                                  :    8 địa điểm
 68. Sports club                                        :    8 địa điểm
 69. Evangelical church                                 :    8 địa điểm
 70. Snack bar                                          :    8 địa điểm
 71. Family restaurant                                  :    7 địa điểm
 72. Gastropub                                          :    7 địa điểm
 73. Live music bar                                     :    7 địa điểm
 74. Grill                                              :    7 địa điểm
 75. City park                                          :    7 địa điểm
 76. Pastry shop                                        :    7 địa điểm
 77. Grocery store                                      :    7 địa điểm
 78. Vegan restaurant                                   :    7 địa điểm
 79. Piano bar                                          :    7 địa điểm
 80. Pet supply store                                   :    7 địa điểm
 81. Hypermarket                                        :    7 địa điểm
 82. Cafeteria                                          :    7 địa điểm
 83. Japanese restaurant                                :    7 địa điểm
 84. Art cafe                                           :    7 địa điểm
 85. Brewery                                            :    6 địa điểm
 86. Sports complex                                     :    6 địa điểm
 87. Botanical garden                                   :    6 địa điểm
 88. Vegetarian cafe and deli                           :    6 địa điểm
 89. Coworking space                                    :    6 địa điểm
 90. Live music venue                                   :    6 địa điểm
 91. Animal feed store                                  :    6 địa điểm
 92. Pet groomer                                        :    6 địa điểm
 93. Clothing store                                     :    6 địa điểm
 94. Function room facility                             :    6 địa điểm
 95. Gym                                                :    6 địa điểm
 96. Garden                                             :    6 địa điểm
 97. Asian fusion restaurant                            :    6 địa điểm
 98. Train station                                      :    6 địa điểm
 99. Pizza restaurant                                   :    5 địa điểm
100. Discount supermarket                               :    5 địa điểm
101. Coffee roasters                                    :    5 địa điểm
102. Vietnamese restaurant                              :    5 địa điểm
103. Seafood market                                     :    5 địa điểm
104. Observation deck                                   :    5 địa điểm
105. Meat dish restaurant                               :    5 địa điểm
106. Musical club                                       :    5 địa điểm
107. Public beach                                       :    5 địa điểm
108. Stand bar                                          :    5 địa điểm
109. Caterer                                            :    5 địa điểm
110. Amusement center                                   :    5 địa điểm
111. Dog park                                           :    5 địa điểm
112. Vegetarian restaurant                              :    5 địa điểm
113. Food court                                         :    5 địa điểm
114. Bus station                                        :    5 địa điểm
115. Travel agency                                      :    5 địa điểm
116. Italian restaurant                                 :    4 địa điểm
117. Pizza Takeout                                      :    4 địa điểm
118. Produce market                                     :    4 địa điểm
119. Tour operator                                      :    4 địa điểm
120. Castle                                             :    4 địa điểm
121. Charcuterie                                        :    4 địa điểm
122. Tiffin center                                      :    4 địa điểm
123. Organic restaurant                                 :    4 địa điểm
124. Indoor playground                                  :    4 địa điểm
125. Barbecue restaurant                                :    4 địa điểm
126. Swimming pool                                      :    4 địa điểm
